config,n_qubits,n_layers,hilbert_dim,vqc_params,OA,AA,kappa,macro_auc,train_time_s,infer_time_s
QHSA-2q,2,2,4,12,98.18177095508975,97.29265406289352,97.58725884660319,99.94358340634624,831.5500154495239,59.23477339744568
QHSA-4q,4,2,16,24,98.32982674874671,97.50866004132129,97.78467681697012,99.95305347791488,841.0469598770142,61.49636101722717
QHSA-6q,6,2,64,36,97.82332008623601,96.812497590502,97.11156005028488,99.92765368682971,869.9444878101349,64.58415055274963
QHSA-8q,8,2,256,48,98.22333047611626,97.49689909054078,97.64420396522333,99.95502233351559,908.4155142307281,67.32170581817627
QHSA-10q,10,2,1024,60,97.89604924803241,97.01805455888255,97.20904283478376,99.93253760300101,967.2740201950073,69.54002618789673
QHSA-12q,12,2,4096,72,97.77396815501702,96.68574416831669,97.04452520403085,99.91801602300072,1063.342401266098,93.82073497772217
QHSA-4q-1L,4,1,16,12,98.18696589521807,97.22084716774812,97.59445353462296,99.94746843720243,820.49427485466,61.507779359817505
QHSA-4q-2L,4,2,16,24,98.32982674874671,97.50866004132129,97.78467681697012,99.95305347791488,837.0965523719788,65.91826581954956
QHSA-4q-3L,4,3,16,36,98.04670251175355,97.02062477456474,97.40665988383836,99.9457274875775,924.6074619293213,69.26561164855957
