measurement,label,OA,AA,kappa,macro_auc,train_time_s,infer_time_s
pauliz,PauliZ (baseline),98.32982674874671,97.50866004132129,97.78467681697012,99.95305347791488,910.2032482624054,69.0059142112732
softmax_z,Softmax-Z,98.61295098573989,97.89844282427083,98.16014689774448,99.95996688397966,925.2595090866089,71.59774851799011
multobs,Multi-obs (X+Y+Z),97.5791579002052,96.537547056014,96.78881548441211,99.90690992539675,948.8095331192017,74.7535195350647
entangled,Entangled (Z+ZZ),97.63370477155252,96.32481191456948,96.85999960328078,99.90879121457651,960.9663934707642,74.3896164894104
