model,dataset,seed,epoch,loss,train_acc
QHSA-Net,IndianPines,42,1,2.3495550595077814,29.411764705882355
QHSA-Net,IndianPines,42,2,1.9156876498577642,33.62745098039216
QHSA-Net,IndianPines,42,3,1.7059995557747636,39.80392156862745
QHSA-Net,IndianPines,42,4,1.4853974758409987,47.05882352941176
QHSA-Net,IndianPines,42,5,1.3231697578056185,51.76470588235295
QHSA-Net,IndianPines,42,6,1.197924936051462,54.11764705882353
QHSA-Net,IndianPines,42,7,1.0975293916814468,58.235294117647065
QHSA-Net,IndianPines,42,8,0.9860569500455669,63.52941176470588
QHSA-Net,IndianPines,42,9,0.8424998965917849,69.41176470588235
QHSA-Net,IndianPines,42,10,0.8217274025374768,69.80392156862744
QHSA-Net,IndianPines,42,11,0.7657618630166148,70.7843137254902
QHSA-Net,IndianPines,42,12,0.5849071131033056,80.3921568627451
QHSA-Net,IndianPines,42,13,0.5080913017777836,82.6470588235294
QHSA-Net,IndianPines,42,14,0.4724934997511845,83.92156862745098
QHSA-Net,IndianPines,42,15,0.3889304505259383,87.3529411764706
QHSA-Net,IndianPines,42,16,0.31242899514880834,90.09803921568627
QHSA-Net,IndianPines,42,17,0.3070921179126291,90.98039215686275
QHSA-Net,IndianPines,42,18,0.2582001021095351,91.56862745098039
QHSA-Net,IndianPines,42,19,0.2379572089396271,92.25490196078432
QHSA-Net,IndianPines,42,20,0.20529173285353416,94.01960784313725
QHSA-Net,IndianPines,42,21,0.1887734763178171,94.80392156862744
QHSA-Net,IndianPines,42,22,0.14282765356349011,96.37254901960785
QHSA-Net,IndianPines,42,23,0.1253232357840912,96.66666666666667
QHSA-Net,IndianPines,42,24,0.10920079353393293,98.13725490196077
QHSA-Net,IndianPines,42,25,0.11303309444703308,97.74509803921568
QHSA-Net,IndianPines,42,26,0.10826025032529644,98.23529411764706
QHSA-Net,IndianPines,42,27,0.09617424180694654,98.33333333333333
QHSA-Net,IndianPines,42,28,0.09438463174829297,98.62745098039215
QHSA-Net,IndianPines,42,29,0.10181024653070113,98.0392156862745
QHSA-Net,IndianPines,42,30,0.09876967542896084,98.0392156862745
SSRN,IndianPines,42,1,1.9405021985371909,42.450980392156865
SSRN,IndianPines,42,2,0.9562759728992687,65.7843137254902
SSRN,IndianPines,42,3,0.6533855854296217,79.01960784313725
SSRN,IndianPines,42,4,0.42733313873702405,84.50980392156863
SSRN,IndianPines,42,5,0.25527140731905024,90.7843137254902
SSRN,IndianPines,42,6,0.24022245272701861,91.86274509803921
SSRN,IndianPines,42,7,0.1631504366795222,94.50980392156862
SSRN,IndianPines,42,8,0.14512087913120494,94.6078431372549
SSRN,IndianPines,42,9,0.14362628121002047,95.88235294117648
SSRN,IndianPines,42,10,0.06733296157098284,97.94117647058823
SSRN,IndianPines,42,11,0.04816828600916208,99.01960784313727
SSRN,IndianPines,42,12,0.05091642269170752,98.52941176470588
SSRN,IndianPines,42,13,0.029986544070290583,99.31372549019608
SSRN,IndianPines,42,14,0.022131116710164968,99.80392156862746
SSRN,IndianPines,42,15,0.011585352933216914,99.90196078431373
SSRN,IndianPines,42,16,0.009974796303054865,99.80392156862746
SSRN,IndianPines,42,17,0.012837465081875232,99.80392156862746
SSRN,IndianPines,42,18,0.012925097682312424,99.6078431372549
SSRN,IndianPines,42,19,0.006918170547806749,100.0
SSRN,IndianPines,42,20,0.0038731247862326163,100.0
SSRN,IndianPines,42,21,0.005680360396703084,100.0
SSRN,IndianPines,42,22,0.00452913462056541,100.0
SSRN,IndianPines,42,23,0.0045459188009594,100.0
SSRN,IndianPines,42,24,0.003958880035754513,100.0
SSRN,IndianPines,42,25,0.003707707558265504,100.0
SSRN,IndianPines,42,26,0.003083452750362602,100.0
SSRN,IndianPines,42,27,0.00426397433084454,100.0
SSRN,IndianPines,42,28,0.0031217974190618477,100.0
SSRN,IndianPines,42,29,0.0028729512611878854,100.0
SSRN,IndianPines,42,30,0.0031727455131819143,100.0
3D-CNN-Only,IndianPines,42,1,2.576291606940475,24.215686274509803
3D-CNN-Only,IndianPines,42,2,2.210166030771592,34.80392156862745
3D-CNN-Only,IndianPines,42,3,1.9343732455197502,35.98039215686274
3D-CNN-Only,IndianPines,42,4,1.8120933298971138,36.37254901960784
3D-CNN-Only,IndianPines,42,5,1.73984600983414,37.05882352941177
3D-CNN-Only,IndianPines,42,6,1.6885656244614544,39.31372549019608
3D-CNN-Only,IndianPines,42,7,1.641081125128503,40.3921568627451
3D-CNN-Only,IndianPines,42,8,1.5949597461550844,40.588235294117645
3D-CNN-Only,IndianPines,42,9,1.5789949318941903,41.66666666666667
3D-CNN-Only,IndianPines,42,10,1.5525250547072467,43.72549019607843
3D-CNN-Only,IndianPines,42,11,1.5282144808301739,44.11764705882353
3D-CNN-Only,IndianPines,42,12,1.528718297621783,45.09803921568628
3D-CNN-Only,IndianPines,42,13,1.4910442473841647,47.15686274509804
3D-CNN-Only,IndianPines,42,14,1.464467533896951,47.15686274509804
3D-CNN-Only,IndianPines,42,15,1.4735060430040547,45.78431372549019
3D-CNN-Only,IndianPines,42,16,1.4172429673811968,48.627450980392155
3D-CNN-Only,IndianPines,42,17,1.3957688027737187,48.92156862745098
3D-CNN-Only,IndianPines,42,18,1.3762852378920012,50.09803921568627
3D-CNN-Only,IndianPines,42,19,1.3867164995156083,49.2156862745098
3D-CNN-Only,IndianPines,42,20,1.3493736402661192,49.31372549019608
3D-CNN-Only,IndianPines,42,21,1.3514728340448117,49.2156862745098
3D-CNN-Only,IndianPines,42,22,1.339593381507724,50.294117647058826
3D-CNN-Only,IndianPines,42,23,1.328758927420074,50.0
3D-CNN-Only,IndianPines,42,24,1.3326323280147478,50.588235294117645
3D-CNN-Only,IndianPines,42,25,1.3418560626460057,49.50980392156863
3D-CNN-Only,IndianPines,42,26,1.303877937559988,51.470588235294116
3D-CNN-Only,IndianPines,42,27,1.3086268761578728,50.98039215686274
3D-CNN-Only,IndianPines,42,28,1.3262549316181855,49.90196078431373
3D-CNN-Only,IndianPines,42,29,1.3268459605235678,49.90196078431373
3D-CNN-Only,IndianPines,42,30,1.3182526373395733,50.882352941176464
QHSA-Net,IndianPines,7,1,2.4434493251875335,24.80392156862745
QHSA-Net,IndianPines,7,2,2.008884703879263,35.09803921568627
QHSA-Net,IndianPines,7,3,1.7457142002442303,38.92156862745098
QHSA-Net,IndianPines,7,4,1.582732540953393,45.294117647058826
QHSA-Net,IndianPines,7,5,1.436608593604144,50.0
QHSA-Net,IndianPines,7,6,1.2756148338317872,52.94117647058824
QHSA-Net,IndianPines,7,7,1.1408635522805008,56.86274509803921
QHSA-Net,IndianPines,7,8,1.0240716176874498,61.66666666666667
QHSA-Net,IndianPines,7,9,0.9520088004130943,63.23529411764706
QHSA-Net,IndianPines,7,10,0.8167537041738921,70.68627450980392
QHSA-Net,IndianPines,7,11,0.6763501609072966,76.9607843137255
QHSA-Net,IndianPines,7,12,0.5945689897911222,79.2156862745098
QHSA-Net,IndianPines,7,13,0.4526220125310561,85.68627450980392
QHSA-Net,IndianPines,7,14,0.3829585030967114,88.0392156862745
QHSA-Net,IndianPines,7,15,0.32472364364885814,89.80392156862746
QHSA-Net,IndianPines,7,16,0.2761240352602566,92.45098039215686
QHSA-Net,IndianPines,7,17,0.23750344205136392,93.23529411764706
QHSA-Net,IndianPines,7,18,0.1862296804201369,94.80392156862744
QHSA-Net,IndianPines,7,19,0.15966356773586834,96.17647058823529
QHSA-Net,IndianPines,7,20,0.14932389954725903,96.27450980392157
QHSA-Net,IndianPines,7,21,0.12871238262045617,97.05882352941177
QHSA-Net,IndianPines,7,22,0.10288746923792597,98.23529411764706
QHSA-Net,IndianPines,7,23,0.08955793786866992,98.4313725490196
QHSA-Net,IndianPines,7,24,0.09296865711609523,99.11764705882354
QHSA-Net,IndianPines,7,25,0.08639426095520748,98.4313725490196
QHSA-Net,IndianPines,7,26,0.08333234941842509,98.72549019607844
QHSA-Net,IndianPines,7,27,0.07358278734426872,98.62745098039215
QHSA-Net,IndianPines,7,28,0.0696568935233004,99.31372549019608
QHSA-Net,IndianPines,7,29,0.07010425329208374,99.11764705882354
QHSA-Net,IndianPines,7,30,0.08143027480326447,98.82352941176471
SSRN,IndianPines,7,1,1.9308351126371646,43.8235294117647
SSRN,IndianPines,7,2,0.9052134721886878,66.17647058823529
SSRN,IndianPines,7,3,0.6236300331704757,78.62745098039215
SSRN,IndianPines,7,4,0.3878280187354368,86.86274509803921
SSRN,IndianPines,7,5,0.24294001559416453,92.25490196078432
SSRN,IndianPines,7,6,0.21824085487454545,92.3529411764706
SSRN,IndianPines,7,7,0.21835747425462684,92.3529411764706
SSRN,IndianPines,7,8,0.13662431374484418,95.49019607843138
SSRN,IndianPines,7,9,0.07694865281091016,98.4313725490196
SSRN,IndianPines,7,10,0.11063449207474203,96.37254901960785
SSRN,IndianPines,7,11,0.12190100229253956,96.37254901960785
SSRN,IndianPines,7,12,0.07882441816961064,97.15686274509804
SSRN,IndianPines,7,13,0.052286720655712424,98.92156862745098
SSRN,IndianPines,7,14,0.05932313601175944,98.33333333333333
SSRN,IndianPines,7,15,0.02482190553245007,99.50980392156863
SSRN,IndianPines,7,16,0.01935929809423054,99.50980392156863
SSRN,IndianPines,7,17,0.019791279879270814,99.31372549019608
SSRN,IndianPines,7,18,0.014685625834938357,99.70588235294117
SSRN,IndianPines,7,19,0.01362573809319121,99.80392156862746
SSRN,IndianPines,7,20,0.007934835337686772,100.0
SSRN,IndianPines,7,21,0.007936927573937996,99.90196078431373
SSRN,IndianPines,7,22,0.009908351886506173,99.80392156862746
SSRN,IndianPines,7,23,0.0073424310478217465,100.0
SSRN,IndianPines,7,24,0.006350996639287355,100.0
SSRN,IndianPines,7,25,0.007401345188126844,100.0
SSRN,IndianPines,7,26,0.006667013077394051,100.0
SSRN,IndianPines,7,27,0.006536545144284473,99.90196078431373
SSRN,IndianPines,7,28,0.007441430273191894,99.90196078431373
SSRN,IndianPines,7,29,0.0070257159516069236,100.0
SSRN,IndianPines,7,30,0.004965415461828895,100.0
3D-CNN-Only,IndianPines,7,1,2.583619519775989,27.254901960784313
3D-CNN-Only,IndianPines,7,2,2.2058154414681828,35.88235294117647
3D-CNN-Only,IndianPines,7,3,1.9345904925290276,36.27450980392157
3D-CNN-Only,IndianPines,7,4,1.7917149590510948,36.86274509803922
3D-CNN-Only,IndianPines,7,5,1.7119312094707115,40.09803921568628
3D-CNN-Only,IndianPines,7,6,1.6689389588786105,42.450980392156865
3D-CNN-Only,IndianPines,7,7,1.6028076176549875,44.31372549019608
3D-CNN-Only,IndianPines,7,8,1.5657082136939553,45.3921568627451
3D-CNN-Only,IndianPines,7,9,1.530112145461288,46.07843137254902
3D-CNN-Only,IndianPines,7,10,1.5152552515852684,46.07843137254902
3D-CNN-Only,IndianPines,7,11,1.487142611952389,47.15686274509804
3D-CNN-Only,IndianPines,7,12,1.4523626668780458,48.03921568627451
