model,OA,AA,kappa,mac_prec,mac_f1,macro_auc,train_time_s,infer_time_s,pc_f1_0,pc_f1_1,pc_f1_2,pc_f1_3,pc_f1_4,pc_f1_5,pc_f1_6,pc_f1_7,pc_f1_8,pc_prec_0,pc_prec_1,pc_prec_2,pc_prec_3,pc_prec_4,pc_prec_5,pc_prec_6,pc_prec_7,pc_prec_8
SVM (RBF),79.19945972622665,68.61663358107675,71.61816629108469,81.72039159732302,69.7677581733517,97.57152763004784,1.2458927631378174,10.973459005355835,80.1000147080453,88.24340679444961,54.20560747663551,87.13832368863169,92.77824978759558,54.15924352473619,5.792437650844731,65.72645805788159,99.76608187134502,71.0224308815858,83.80646885859396,69.61920529801324,90.1854714064915,96.29629629629629,71.00251527128998,90.0,63.55113636363636,100.0
3D-CNN-Only,94.24920127795528,90.6261944585813,92.35547885825497,92.20064868002743,91.27971828911778,99.64599233796179,685.7694408893585,51.473848819732666,94.05495420482931,98.17719121737586,70.09832272990167,97.86695589298627,97.55301794453507,92.89024528088618,86.24175824175823,86.90114343609784,97.73387565368972,92.89473684210526,97.75486152033,77.54318618042227,97.97321751719146,97.07792207792207,94.83037156704361,91.51119402985076,82.88238542241857,97.33796296296296
HybridSN,88.66204316995247,83.54524353006656,84.91675370640066,85.21168455008787,84.04300750141722,99.03073659425066,646.4993231296539,53.13256883621216,92.35874885920518,94.91836251774728,46.649484536082475,95.10412860796492,88.74172185430463,80.88630259623993,84.83290488431876,74.80403135498321,98.09138230190861,90.90315204964887,94.47126707489402,59.88420181968569,96.22920517560074,89.63210702341136,81.7277250113071,87.53315649867373,69.27663987555096,97.24770642201835
SSRN,99.81817709550897,99.64189255650234,99.75891994956575,99.66319674465855,99.65233325626824,99.99918516761542,1404.2371096611023,156.79222583770752,99.9578521453258,99.98811151399869,98.99364406779661,99.56678700361012,99.83633387888707,100.0,99.91680532445923,99.19489594409843,99.41656942823805,99.93258048204954,99.9940554036381,99.36204146730464,99.53085528690004,99.67320261437908,100.0,100.0,99.05946601941747,99.41656942823805
DBDA,96.26743551780565,93.63518661142584,95.04229270434892,94.51528453341545,94.03210331627335,99.83378726039174,1519.5730707645416,155.64905834197998,95.9664570230608,99.17668660783036,79.51340890240532,98.0072463768116,97.74557165861513,96.9009656411408,91.20549120549121,89.70631859982201,98.06678383128296,95.44620517097582,98.83130681147443,83.50754936120791,98.32788077062887,96.04430379746836,98.24681238615665,94.23758865248227,87.52532561505065,98.47058823529412
QHSA-Net (Optimised),98.61295098573989,97.89844282427083,98.16014689774448,97.96821519448842,97.92992318585216,99.95996688397966,889.4465420246124,63.70484495162964,98.59178682856901,99.65858148027195,92.98339582217461,99.63898916967509,99.63220269718022,98.6868462052081,96.65150888797024,95.52599758162032,100.0,98.6001011975038,99.55513375645056,94.39912996193584,99.60303139660772,99.3480032599837,99.15026833631485,96.13486842105263,94.92340042054671,100.0
